[17-Jan-2016 01:51:29] PHP Fatal error:  Call to a member function num_rows() on a non-object in /home/biostatv/domains/oprogramowanie-dedykowane.pl/public_html/include/class/Session.php on line 111
[25-Jan-2016 11:50:27] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:50:27] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:50:27] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:50:27] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:50:27] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 11:50:27] PHP Warning:  scandir(/home/biostatv/domains/badania-telefoniczne.pl/public_html/assets/img/logos) [<a href='function.scandir'>function.scandir</a>]: failed to open dir: No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:50:27] PHP Warning:  scandir() [<a href='function.scandir'>function.scandir</a>]: (errno 2): No such file or directory in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 71
[25-Jan-2016 11:50:27] PHP Warning:  Invalid argument supplied for foreach() in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 74
[25-Jan-2016 13:29:12] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 78
[25-Jan-2016 13:29:13] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/tpl/pages_index/home.tpl on line 78
[27-Jan-2016 08:42:12] PHP Warning:  mysqli_real_connect() [<a href='function.mysqli-real-connect'>function.mysqli-real-connect</a>]: (42000/1226): User 'biostatv_tele' has exceeded the 'max_user_connections' resource (current value: 3) in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db/Mysqli/Protocol.php on line 14
[27-Jan-2016 08:42:12] PHP Fatal error:  Uncaught exception 'Exception' with message 'Error: When connecting to database. (User 'biostatv_tele' has exceeded the 'max_user_connections' resource (current value: 3))' in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php:46
Stack trace:
#0 /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php(89): Db->__construct(Array)
#1 /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Session.php(33): Db::Instance()
#2 /home/biostatv/domains/badania-telefoniczne.pl/public_html/index.php(25): Session->__construct('CMS', NULL, '/home/biostatv/...', '')
#3 {main}
  thrown in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php on line 46
[27-Jan-2016 12:59:58] PHP Warning:  mysqli_real_connect() [<a href='function.mysqli-real-connect'>function.mysqli-real-connect</a>]: (42000/1226): User 'biostatv_tele' has exceeded the 'max_user_connections' resource (current value: 3) in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db/Mysqli/Protocol.php on line 14
[27-Jan-2016 12:59:58] PHP Fatal error:  Uncaught exception 'Exception' with message 'Error: When connecting to database. (User 'biostatv_tele' has exceeded the 'max_user_connections' resource (current value: 3))' in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php:46
Stack trace:
#0 /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php(89): Db->__construct(Array)
#1 /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Session.php(33): Db::Instance()
#2 /home/biostatv/domains/badania-telefoniczne.pl/public_html/index.php(25): Session->__construct('CMS', NULL, '/home/biostatv/...', '')
#3 {main}
  thrown in /home/biostatv/domains/badania-telefoniczne.pl/public_html/include/class/Db.php on line 46
